losses,time_itr,lambda_,step_size,preprocess_time
4608218.4348883405,0.03430294990539551,0.01,0.0001,2.7894973754882812e-05
4606997.606219437,0.01755499839782715,0.01,0.0001,2.7894973754882812e-05
4605794.2618635725,0.0015239715576171875,0.01,0.0001,2.7894973754882812e-05
4600778.165979183,0.0014660358428955078,0.01,0.0001,2.7894973754882812e-05
4590124.571412776,0.0015740394592285156,0.01,0.0001,2.7894973754882812e-05
4083275.1741509107,0.012084007263183594,0.01,0.0001,2.7894973754882812e-05
3637555.7690119273,0.022791147232055664,0.01,0.0001,2.7894973754882812e-05
3245629.6994129154,0.019662141799926758,0.01,0.0001,2.7894973754882812e-05
2847276.099846917,0.017753124237060547,0.01,0.0001,2.7894973754882812e-05
2489926.915081752,0.016623735427856445,0.01,0.0001,2.7894973754882812e-05
2181587.375919225,0.011568784713745117,0.01,0.0001,2.7894973754882812e-05
1887830.553334583,0.010203123092651367,0.01,0.0001,2.7894973754882812e-05
1642087.4884286846,0.0107269287109375,0.01,0.0001,2.7894973754882812e-05
1419085.3940891307,0.008203983306884766,0.01,0.0001,2.7894973754882812e-05
1240797.5228034975,0.03286886215209961,0.01,0.0001,2.7894973754882812e-05
1240052.2249734732,0.006692171096801758,0.01,0.0001,2.7894973754882812e-05
1239740.1079011743,0.0060079097747802734,0.01,0.0001,2.7894973754882812e-05
1239217.966672823,0.044692039489746094,0.01,0.0001,2.7894973754882812e-05
1238250.1620221096,0.03525137901306152,0.01,0.0001,2.7894973754882812e-05
1235839.0682295493,0.01061105728149414,0.01,0.0001,2.7894973754882812e-05
1145123.6619566567,0.0067098140716552734,0.01,0.0001,2.7894973754882812e-05
1056232.4143564762,0.012747049331665039,0.01,0.0001,2.7894973754882812e-05
975066.410780247,0.014585018157958984,0.01,0.0001,2.7894973754882812e-05
895086.052689691,0.01005101203918457,0.01,0.0001,2.7894973754882812e-05
821002.3609478021,0.0197446346282959,0.01,0.0001,2.7894973754882812e-05
753685.9000680413,0.007854938507080078,0.01,0.0001,2.7894973754882812e-05
682201.148723918,0.007944107055664062,0.01,0.0001,2.7894973754882812e-05
620508.3174307676,0.009559869766235352,0.01,0.0001,2.7894973754882812e-05
563467.1680416038,0.008305072784423828,0.01,0.0001,2.7894973754882812e-05
516955.6241896418,0.008022069931030273,0.01,0.0001,2.7894973754882812e-05
516735.9498200515,0.0036573410034179688,0.01,0.0001,2.7894973754882812e-05
516575.82686755154,0.002653360366821289,0.01,0.0001,2.7894973754882812e-05
516316.8782462756,0.0071277618408203125,0.01,0.0001,2.7894973754882812e-05
515858.4892939956,0.0023202896118164062,0.01,0.0001,2.7894973754882812e-05
515132.90230671864,0.001508951187133789,0.01,0.0001,2.7894973754882812e-05
486344.9057671344,0.005324125289916992,0.01,0.0001,2.7894973754882812e-05
457072.44254365494,0.008557796478271484,0.01,0.0001,2.7894973754882812e-05
428806.6445262643,0.010158061981201172,0.01,0.0001,2.7894973754882812e-05
402887.89829366526,0.008547067642211914,0.01,0.0001,2.7894973754882812e-05
378738.758463443,0.013216018676757812,0.01,0.0001,2.7894973754882812e-05
355835.3884142206,0.009277820587158203,0.01,0.0001,2.7894973754882812e-05
330941.57461852627,0.01573801040649414,0.01,0.0001,2.7894973754882812e-05
308844.2465210527,0.009492874145507812,0.01,0.0001,2.7894973754882812e-05
288135.59215458063,0.010175943374633789,0.01,0.0001,2.7894973754882812e-05
270655.703458698,0.006947994232177734,0.01,0.0001,2.7894973754882812e-05
270569.56847721536,0.0031261444091796875,0.01,0.0001,2.7894973754882812e-05
270476.69151812105,0.003262042999267578,0.01,0.0001,2.7894973754882812e-05
270357.2854569177,0.0019359588623046875,0.01,0.0001,2.7894973754882812e-05
270087.59504083777,0.0014791488647460938,0.01,0.0001,2.7894973754882812e-05
269815.18698212015,0.0016260147094726562,0.01,0.0001,2.7894973754882812e-05
256983.3003401955,0.003984928131103516,0.01,0.0001,2.7894973754882812e-05
243995.0415238993,0.008468866348266602,0.01,0.0001,2.7894973754882812e-05
231012.8057762883,0.01202392578125,0.01,0.0001,2.7894973754882812e-05
219570.366422725,0.013293027877807617,0.01,0.0001,2.7894973754882812e-05
209006.73334848712,0.016448974609375,0.01,0.0001,2.7894973754882812e-05
198686.40223012667,0.008356809616088867,0.01,0.0001,2.7894973754882812e-05
187706.01131772122,0.007222175598144531,0.01,0.0001,2.7894973754882812e-05
177759.75654226844,0.008033037185668945,0.01,0.0001,2.7894973754882812e-05
168291.3256017117,0.011111974716186523,0.01,0.0001,2.7894973754882812e-05
159986.02272634255,0.008764028549194336,0.01,0.0001,2.7894973754882812e-05
159946.8911392519,0.003039121627807617,0.01,0.0001,2.7894973754882812e-05
159893.1807926965,0.001661062240600586,0.01,0.0001,2.7894973754882812e-05
159835.35657740213,0.00168609619140625,0.01,0.0001,2.7894973754882812e-05
159672.1376935566,0.0015478134155273438,0.01,0.0001,2.7894973754882812e-05
159550.47927027178,0.0018181800842285156,0.01,0.0001,2.7894973754882812e-05
152763.22371818355,0.008038043975830078,0.01,0.0001,2.7894973754882812e-05
145965.27382880566,0.010900020599365234,0.01,0.0001,2.7894973754882812e-05
139092.04893499083,0.010167121887207031,0.01,0.0001,2.7894973754882812e-05
133110.52060569648,0.012998104095458984,0.01,0.0001,2.7894973754882812e-05
127628.86727351001,0.00716090202331543,0.01,0.0001,2.7894973754882812e-05
122167.3136836771,0.01198887825012207,0.01,0.0001,2.7894973754882812e-05
116533.11499019954,0.00910806655883789,0.01,0.0001,2.7894973754882812e-05
111344.30184352682,0.012900829315185547,0.01,0.0001,2.7894973754882812e-05
106339.05815677544,0.007769107818603516,0.01,0.0001,2.7894973754882812e-05
101773.11902715541,0.00700688362121582,0.01,0.0001,2.7894973754882812e-05
101752.33096331639,0.004297971725463867,0.01,0.0001,2.7894973754882812e-05
101721.34992536584,0.0025539398193359375,0.01,0.0001,2.7894973754882812e-05
101690.40703021451,0.0014798641204833984,0.01,0.0001,2.7894973754882812e-05
101590.12259643408,0.0014121532440185547,0.01,0.0001,2.7894973754882812e-05
101527.663332097,0.002437114715576172,0.01,0.0001,2.7894973754882812e-05
97578.43630966253,0.00379180908203125,0.01,0.0001,2.7894973754882812e-05
93641.74439092058,0.014872074127197266,0.01,0.0001,2.7894973754882812e-05
89670.79469816507,0.0074977874755859375,0.01,0.0001,2.7894973754882812e-05
86222.36884655671,0.007441043853759766,0.01,0.0001,2.7894973754882812e-05
83062.74798400869,0.00814199447631836,0.01,0.0001,2.7894973754882812e-05
79871.5374050838,0.01690077781677246,0.01,0.0001,2.7894973754882812e-05
76670.7528247087,0.01707911491394043,0.01,0.0001,2.7894973754882812e-05
73681.65386619365,0.0069730281829833984,0.01,0.0001,2.7894973754882812e-05
70773.90633838768,0.012775182723999023,0.01,0.0001,2.7894973754882812e-05
68016.45013785857,0.013154983520507812,0.01,0.0001,2.7894973754882812e-05
68003.68139414747,0.004078865051269531,0.01,0.0001,2.7894973754882812e-05
67985.66983242576,0.0026199817657470703,0.01,0.0001,2.7894973754882812e-05
67967.35674777719,0.0017132759094238281,0.01,0.0001,2.7894973754882812e-05
67904.7387919553,0.0021371841430664062,0.01,0.0001,2.7894973754882812e-05
67869.03589953801,0.0014910697937011719,0.01,0.0001,2.7894973754882812e-05
65425.807845600226,0.008686065673828125,0.01,0.0001,2.7894973754882812e-05
62986.597318707296,0.008828878402709961,0.01,0.0001,2.7894973754882812e-05
60547.25417658068,0.011192083358764648,0.01,0.0001,2.7894973754882812e-05
58426.794010911275,0.012750864028930664,0.01,0.0001,2.7894973754882812e-05
56472.5910006449,0.0072782039642333984,0.01,0.0001,2.7894973754882812e-05
54477.668147287695,0.018719911575317383,0.01,0.0001,2.7894973754882812e-05
52521.75960478522,0.008229255676269531,0.01,0.0001,2.7894973754882812e-05
50676.79213537757,0.012719154357910156,0.01,0.0001,2.7894973754882812e-05
48873.585936244446,0.009952068328857422,0.01,0.0001,2.7894973754882812e-05
47099.56916631967,0.013358116149902344,0.01,0.0001,2.7894973754882812e-05
47090.943100251956,0.005913972854614258,0.01,0.0001,2.7894973754882812e-05
47080.31267217263,0.002538919448852539,0.01,0.0001,2.7894973754882812e-05
47068.574862113,0.004348278045654297,0.01,0.0001,2.7894973754882812e-05
47028.88310138443,0.0014088153839111328,0.01,0.0001,2.7894973754882812e-05
47006.84546885412,0.0013682842254638672,0.01,0.0001,2.7894973754882812e-05
45427.54564247966,0.0036368370056152344,0.01,0.0001,2.7894973754882812e-05
43841.808893406946,0.011833906173706055,0.01,0.0001,2.7894973754882812e-05
42272.69775842904,0.01022791862487793,0.01,0.0001,2.7894973754882812e-05
40905.97564848927,0.01069784164428711,0.01,0.0001,2.7894973754882812e-05
39634.6434161556,0.01203298568725586,0.01,0.0001,2.7894973754882812e-05
38324.60078833746,0.0077931880950927734,0.01,0.0001,2.7894973754882812e-05
37062.42195259696,0.021665096282958984,0.01,0.0001,2.7894973754882812e-05
35865.538604908295,0.006804943084716797,0.01,0.0001,2.7894973754882812e-05
34692.432316831924,0.011095046997070312,0.01,0.0001,2.7894973754882812e-05
33499.34657151467,0.008120059967041016,0.01,0.0001,2.7894973754882812e-05
33493.23703735289,0.005301952362060547,0.01,0.0001,2.7894973754882812e-05
33486.83867387116,0.002900838851928711,0.01,0.0001,2.7894973754882812e-05
33478.879070648094,0.002107858657836914,0.01,0.0001,2.7894973754882812e-05
33453.392196501816,0.004600048065185547,0.01,0.0001,2.7894973754882812e-05
33439.06955892223,0.002262115478515625,0.01,0.0001,2.7894973754882812e-05
32383.319511557074,0.007536888122558594,0.01,0.0001,2.7894973754882812e-05
31314.77770059949,0.006846904754638672,0.01,0.0001,2.7894973754882812e-05
30268.670890020505,0.01164698600769043,0.01,0.0001,2.7894973754882812e-05
29354.921312706134,0.009572744369506836,0.01,0.0001,2.7894973754882812e-05
