losses,time_itr,lambda_,step_size,preprocess_time
5302380.808383315,0.005639791488647461,0.01,0.0001,4.8160552978515625e-05
4009642.5280991034,0.011144876480102539,0.01,0.0001,4.8160552978515625e-05
3009641.4721693536,0.01663994789123535,0.01,0.0001,4.8160552978515625e-05
2226208.3688170686,0.011240959167480469,0.01,0.0001,4.8160552978515625e-05
1677656.5230179608,0.018538951873779297,0.01,0.0001,4.8160552978515625e-05
1153690.8329240207,0.011511802673339844,0.01,0.0001,4.8160552978515625e-05
1153688.1598385193,0.0029969215393066406,0.01,0.0001,4.8160552978515625e-05
988714.8711658807,0.009691238403320312,0.01,0.0001,4.8160552978515625e-05
851249.562038129,0.012391090393066406,0.01,0.0001,4.8160552978515625e-05
734757.6288825902,0.01708197593688965,0.01,0.0001,4.8160552978515625e-05
627792.5431626475,0.01576995849609375,0.01,0.0001,4.8160552978515625e-05
528968.1939614541,0.018453121185302734,0.01,0.0001,4.8160552978515625e-05
528941.1626768466,0.00506591796875,0.01,0.0001,4.8160552978515625e-05
473214.0271418119,0.010165929794311523,0.01,0.0001,4.8160552978515625e-05
422260.26589791174,0.018297910690307617,0.01,0.0001,4.8160552978515625e-05
380277.45275878214,0.01331186294555664,0.01,0.0001,4.8160552978515625e-05
339612.5286368984,0.019733905792236328,0.01,0.0001,4.8160552978515625e-05
302576.40770669584,0.015619993209838867,0.01,0.0001,4.8160552978515625e-05
302551.1023746651,0.005052804946899414,0.01,0.0001,4.8160552978515625e-05
276678.7264991654,0.005151987075805664,0.01,0.0001,4.8160552978515625e-05
251585.76513154505,0.017154932022094727,0.01,0.0001,4.8160552978515625e-05
231234.7269175809,0.011954784393310547,0.01,0.0001,4.8160552978515625e-05
211131.87174409034,0.014795064926147461,0.01,0.0001,4.8160552978515625e-05
192679.51480725643,0.015874862670898438,0.01,0.0001,4.8160552978515625e-05
192660.57176363762,0.002560853958129883,0.01,0.0001,4.8160552978515625e-05
178500.43185299163,0.0051839351654052734,0.01,0.0001,4.8160552978515625e-05
164367.88135495738,0.016312122344970703,0.01,0.0001,4.8160552978515625e-05
152900.54157936666,0.015985965728759766,0.01,0.0001,4.8160552978515625e-05
141481.27209775712,0.015608072280883789,0.01,0.0001,4.8160552978515625e-05
130874.92653023782,0.014276981353759766,0.01,0.0001,4.8160552978515625e-05
130861.3783836578,0.0029702186584472656,0.01,0.0001,4.8160552978515625e-05
122316.49296043861,0.0055370330810546875,0.01,0.0001,4.8160552978515625e-05
113659.242845856,0.015961885452270508,0.01,0.0001,4.8160552978515625e-05
106579.12266142313,0.015256166458129883,0.01,0.0001,4.8160552978515625e-05
99514.36203185428,0.011096954345703125,0.01,0.0001,4.8160552978515625e-05
92879.02658700399,0.016425132751464844,0.01,0.0001,4.8160552978515625e-05
92869.4566381543,0.0026040077209472656,0.01,0.0001,4.8160552978515625e-05
87360.20308912917,0.009341955184936523,0.01,0.0001,4.8160552978515625e-05
81734.54621748684,0.019964933395385742,0.01,0.0001,4.8160552978515625e-05
77085.55179426128,0.015917062759399414,0.01,0.0001,4.8160552978515625e-05
72452.1968913426,0.01293325424194336,0.01,0.0001,4.8160552978515625e-05
68060.09713056865,0.01378488540649414,0.01,0.0001,4.8160552978515625e-05
68053.36757750205,0.0024657249450683594,0.01,0.0001,4.8160552978515625e-05
64324.45892219422,0.014473915100097656,0.01,0.0001,4.8160552978515625e-05
60504.11746560552,0.010792255401611328,0.01,0.0001,4.8160552978515625e-05
57312.63163887572,0.016283273696899414,0.01,0.0001,4.8160552978515625e-05
54140.49825320037,0.010607004165649414,0.01,0.0001,4.8160552978515625e-05
51112.15624713654,0.02325296401977539,0.01,0.0001,4.8160552978515625e-05
51107.42818865763,0.0024788379669189453,0.01,0.0001,4.8160552978515625e-05
48487.54222221327,0.005688190460205078,0.01,0.0001,4.8160552978515625e-05
45802.731174589804,0.01668405532836914,0.01,0.0001,4.8160552978515625e-05
43536.53494217167,0.010426759719848633,0.01,0.0001,4.8160552978515625e-05
41291.27086374518,0.01691412925720215,0.01,0.0001,4.8160552978515625e-05
39136.89564628642,0.01049494743347168,0.01,0.0001,4.8160552978515625e-05
39133.56698127689,0.0026569366455078125,0.01,0.0001,4.8160552978515625e-05
37237.76946791375,0.008746147155761719,0.01,0.0001,4.8160552978515625e-05
35298.45728570817,0.010533809661865234,0.01,0.0001,4.8160552978515625e-05
33645.90568151011,0.015625,0.01,0.0001,4.8160552978515625e-05
32013.689065605096,0.016274213790893555,0.01,0.0001,4.8160552978515625e-05
30442.2902727091,0.014930963516235352,0.01,0.0001,4.8160552978515625e-05
30439.93595154276,0.002669811248779297,0.01,0.0001,4.8160552978515625e-05
29035.134245545538,0.005004167556762695,0.01,0.0001,4.8160552978515625e-05
27602.493190042078,0.016605854034423828,0.01,0.0001,4.8160552978515625e-05
26371.226080431512,0.01373291015625,0.01,0.0001,4.8160552978515625e-05
25158.413734903836,0.014271974563598633,0.01,0.0001,4.8160552978515625e-05
23988.46558833847,0.012014150619506836,0.01,0.0001,4.8160552978515625e-05
23986.789119591762,0.003786325454711914,0.01,0.0001,4.8160552978515625e-05
22925.433667002213,0.015671968460083008,0.01,0.0001,4.8160552978515625e-05
21847.15175070059,0.019567012786865234,0.01,0.0001,4.8160552978515625e-05
20913.35778292518,0.011443853378295898,0.01,0.0001,4.8160552978515625e-05
19995.617363708818,0.02259206771850586,0.01,0.0001,4.8160552978515625e-05
19109.441742518386,0.021733760833740234,0.01,0.0001,4.8160552978515625e-05
19108.237885695133,0.00263214111328125,0.01,0.0001,4.8160552978515625e-05
18293.405738527577,0.006399869918823242,0.01,0.0001,4.8160552978515625e-05
17469.002915533292,0.02778768539428711,0.01,0.0001,4.8160552978515625e-05
16750.21361551842,0.025654077529907227,0.01,0.0001,4.8160552978515625e-05
16045.030275648456,0.024187326431274414,0.01,0.0001,4.8160552978515625e-05
15363.90459942234,0.01875472068786621,0.01,0.0001,4.8160552978515625e-05
15363.031786569743,0.003248929977416992,0.01,0.0001,4.8160552978515625e-05
14729.025384290098,0.011186838150024414,0.01,0.0001,4.8160552978515625e-05
14090.280913080396,0.013170242309570312,0.01,0.0001,4.8160552978515625e-05
13529.970050020824,0.0178830623626709,0.01,0.0001,4.8160552978515625e-05
12981.016074580843,0.012632131576538086,0.01,0.0001,4.8160552978515625e-05
