losses,time_itr,lambda_,step_size,preprocess_time
116810.29430037916,0.008929014205932617,0.01,0.001,3.0040740966796875e-05
115502.76195908338,0.020502090454101562,0.01,0.001,3.0040740966796875e-05
112465.49680088575,0.012173175811767578,0.01,0.001,3.0040740966796875e-05
111459.15500934739,0.003469705581665039,0.01,0.001,3.0040740966796875e-05
110888.64322134179,0.011057138442993164,0.01,0.001,3.0040740966796875e-05
108972.12564452908,0.0038051605224609375,0.01,0.001,3.0040740966796875e-05
106974.63083927943,0.0032608509063720703,0.01,0.001,3.0040740966796875e-05
104161.09615699793,0.0038127899169921875,0.01,0.001,3.0040740966796875e-05
101864.50406917228,0.004197120666503906,0.01,0.001,3.0040740966796875e-05
100444.75598869732,0.008141040802001953,0.01,0.001,3.0040740966796875e-05
97300.55130672813,0.00799107551574707,0.01,0.001,3.0040740966796875e-05
95872.49953698982,0.004698991775512695,0.01,0.001,3.0040740966796875e-05
94001.70404986729,0.0073778629302978516,0.01,0.001,3.0040740966796875e-05
92087.12407933171,0.0028111934661865234,0.01,0.001,3.0040740966796875e-05
90347.11450261396,0.0027730464935302734,0.01,0.001,3.0040740966796875e-05
88627.99111502212,0.003821849822998047,0.01,0.001,3.0040740966796875e-05
86583.08922116287,0.0031080245971679688,0.01,0.001,3.0040740966796875e-05
82813.61278258068,0.008167028427124023,0.01,0.001,3.0040740966796875e-05
80377.36928421176,0.01026296615600586,0.01,0.001,3.0040740966796875e-05
78615.67524557385,0.009212017059326172,0.01,0.001,3.0040740966796875e-05
78032.92322738576,0.01085209846496582,0.01,0.001,3.0040740966796875e-05
77049.5398497763,0.0074310302734375,0.01,0.001,3.0040740966796875e-05
76057.44974317196,0.0036458969116210938,0.01,0.001,3.0040740966796875e-05
75410.06131238626,0.003580331802368164,0.01,0.001,3.0040740966796875e-05
73965.67156405932,0.0055310726165771484,0.01,0.001,3.0040740966796875e-05
71538.40857765604,0.004904031753540039,0.01,0.001,3.0040740966796875e-05
70078.63212234245,0.002732992172241211,0.01,0.001,3.0040740966796875e-05
67426.29781976421,0.0038499832153320312,0.01,0.001,3.0040740966796875e-05
66776.13116502993,0.00393986701965332,0.01,0.001,3.0040740966796875e-05
64901.390691842935,0.0035130977630615234,0.01,0.001,3.0040740966796875e-05
63961.92551568943,0.006232023239135742,0.01,0.001,3.0040740966796875e-05
60921.55306696912,0.009204864501953125,0.01,0.001,3.0040740966796875e-05
60267.6378900541,0.0028297901153564453,0.01,0.001,3.0040740966796875e-05
59265.44184015434,0.006175994873046875,0.01,0.001,3.0040740966796875e-05
54778.986408745994,0.0043621063232421875,0.01,0.001,3.0040740966796875e-05
54311.93363072366,0.0031092166900634766,0.01,0.001,3.0040740966796875e-05
52578.27925612152,0.0044820308685302734,0.01,0.001,3.0040740966796875e-05
50778.68633783767,0.006864786148071289,0.01,0.001,3.0040740966796875e-05
49992.76701976907,0.003731966018676758,0.01,0.001,3.0040740966796875e-05
47284.663289656746,0.003801107406616211,0.01,0.001,3.0040740966796875e-05
44924.26129280593,0.003536224365234375,0.01,0.001,3.0040740966796875e-05
43465.78543781578,0.00497889518737793,0.01,0.001,3.0040740966796875e-05
42462.82757469547,0.003237009048461914,0.01,0.001,3.0040740966796875e-05
39141.30215723953,0.003239154815673828,0.01,0.001,3.0040740966796875e-05
38258.59129247732,0.003242969512939453,0.01,0.001,3.0040740966796875e-05
36071.78721931862,0.0029456615447998047,0.01,0.001,3.0040740966796875e-05
35022.90378202757,0.0034580230712890625,0.01,0.001,3.0040740966796875e-05
34925.845184280035,0.03951430320739746,0.01,0.001,3.0040740966796875e-05
34830.42827329057,0.0753018856048584,0.01,0.001,3.0040740966796875e-05
34734.438197319374,0.06015300750732422,0.01,0.001,3.0040740966796875e-05
34510.5674788692,0.005681037902832031,0.01,0.001,3.0040740966796875e-05
34237.20322687444,0.004350185394287109,0.01,0.001,3.0040740966796875e-05
33476.08916823969,0.003360271453857422,0.01,0.001,3.0040740966796875e-05
33245.11473524345,0.003000974655151367,0.01,0.001,3.0040740966796875e-05
33132.68186162771,0.003576040267944336,0.01,0.001,3.0040740966796875e-05
32710.51989156386,0.005276918411254883,0.01,0.001,3.0040740966796875e-05
32417.638337089502,0.007021188735961914,0.01,0.001,3.0040740966796875e-05
31784.525599601046,0.00432896614074707,0.01,0.001,3.0040740966796875e-05
31383.261369151427,0.003339052200317383,0.01,0.001,3.0040740966796875e-05
31166.71489396466,0.008710861206054688,0.01,0.001,3.0040740966796875e-05
30597.867623714228,0.003926992416381836,0.01,0.001,3.0040740966796875e-05
30349.69692894894,0.0033140182495117188,0.01,0.001,3.0040740966796875e-05
29921.903852734802,0.00421905517578125,0.01,0.001,3.0040740966796875e-05
29552.059947277958,0.002760171890258789,0.01,0.001,3.0040740966796875e-05
29171.71355021024,0.003518819808959961,0.01,0.001,3.0040740966796875e-05
28842.395920805906,0.0040209293365478516,0.01,0.001,3.0040740966796875e-05
28438.57086662161,0.008296012878417969,0.01,0.001,3.0040740966796875e-05
27684.60228764808,0.003215789794921875,0.01,0.001,3.0040740966796875e-05
27113.93417099805,0.0029382705688476562,0.01,0.001,3.0040740966796875e-05
26651.9106908678,0.003451824188232422,0.01,0.001,3.0040740966796875e-05
26487.159191914183,0.003030061721801758,0.01,0.001,3.0040740966796875e-05
26310.022107646466,0.0072820186614990234,0.01,0.001,3.0040740966796875e-05
26178.931582972004,0.002825021743774414,0.01,0.001,3.0040740966796875e-05
26063.349918993543,0.007544994354248047,0.01,0.001,3.0040740966796875e-05
25736.149214760328,0.003152132034301758,0.01,0.001,3.0040740966796875e-05
25253.26489581027,0.007030963897705078,0.01,0.001,3.0040740966796875e-05
24852.144464971916,0.003484010696411133,0.01,0.001,3.0040740966796875e-05
24248.809943796157,0.0036499500274658203,0.01,0.001,3.0040740966796875e-05
24028.35443639558,0.003215312957763672,0.01,0.001,3.0040740966796875e-05
23523.035638740424,0.004242897033691406,0.01,0.001,3.0040740966796875e-05
23290.30166639384,0.005461931228637695,0.01,0.001,3.0040740966796875e-05
22460.239195870443,0.0032041072845458984,0.01,0.001,3.0040740966796875e-05
22287.89532999153,0.0031349658966064453,0.01,0.001,3.0040740966796875e-05
22028.499814624138,0.0045299530029296875,0.01,0.001,3.0040740966796875e-05
20987.269742279943,0.006029844284057617,0.01,0.001,3.0040740966796875e-05
20906.576704513842,0.0031762123107910156,0.01,0.001,3.0040740966796875e-05
20534.233683080718,0.007892847061157227,0.01,0.001,3.0040740966796875e-05
20110.26019571491,0.003136873245239258,0.01,0.001,3.0040740966796875e-05
19882.60343488157,0.0033750534057617188,0.01,0.001,3.0040740966796875e-05
19296.189456884418,0.006101846694946289,0.01,0.001,3.0040740966796875e-05
18776.6270159153,0.004478931427001953,0.01,0.001,3.0040740966796875e-05
18403.277157562774,0.0033721923828125,0.01,0.001,3.0040740966796875e-05
18241.025256014273,0.0032749176025390625,0.01,0.001,3.0040740966796875e-05
17397.540136985455,0.0031638145446777344,0.01,0.001,3.0040740966796875e-05
17168.674229837812,0.005724906921386719,0.01,0.001,3.0040740966796875e-05
16608.80141507981,0.003702878952026367,0.01,0.001,3.0040740966796875e-05
16352.049502915963,0.003796815872192383,0.01,0.001,3.0040740966796875e-05
16296.818704339485,0.028954744338989258,0.01,0.001,3.0040740966796875e-05
16240.25457620934,0.06422901153564453,0.01,0.001,3.0040740966796875e-05
16185.18388184145,0.06743097305297852,0.01,0.001,3.0040740966796875e-05
16147.566428952967,0.004974842071533203,0.01,0.001,3.0040740966796875e-05
16056.215970501235,0.0032129287719726562,0.01,0.001,3.0040740966796875e-05
15844.00431972519,0.008283853530883789,0.01,0.001,3.0040740966796875e-05
15758.15970697462,0.002753019332885742,0.01,0.001,3.0040740966796875e-05
15702.972846460498,0.005061149597167969,0.01,0.001,3.0040740966796875e-05
15621.390139404211,0.0040700435638427734,0.01,0.001,3.0040740966796875e-05
15558.320425416981,0.003103017807006836,0.01,0.001,3.0040740966796875e-05
15359.199094783586,0.003097057342529297,0.01,0.001,3.0040740966796875e-05
15224.602732882455,0.007226228713989258,0.01,0.001,3.0040740966796875e-05
15150.16482265573,0.0032041072845458984,0.01,0.001,3.0040740966796875e-05
15016.621208521114,0.0032951831817626953,0.01,0.001,3.0040740966796875e-05
14940.999427073963,0.002972126007080078,0.01,0.001,3.0040740966796875e-05
14811.89145508876,0.0027320384979248047,0.01,0.001,3.0040740966796875e-05
14723.137903914483,0.0028548240661621094,0.01,0.001,3.0040740966796875e-05
14618.481348216897,0.005052089691162109,0.01,0.001,3.0040740966796875e-05
