losses,time_itr,lambda_,step_size,preprocess_time
4599287.242363657,0.042733192443847656,0.01,0.0001,1.5052268505096436
4596124.977923686,0.03829503059387207,0.01,0.0001,1.5052268505096436
4593417.662639966,0.035051822662353516,0.01,0.0001,1.5052268505096436
4579855.494431165,0.03838062286376953,0.01,0.0001,1.5052268505096436
4551449.565260182,0.03540492057800293,0.01,0.0001,1.5052268505096436
3192796.6813362124,0.040988922119140625,0.01,0.0001,1.5052268505096436
2330646.4430174613,0.04305219650268555,0.01,0.0001,1.5052268505096436
1662435.0628660775,0.0405728816986084,0.01,0.0001,1.5052268505096436
1171514.5435847586,0.03886103630065918,0.01,0.0001,1.5052268505096436
832470.0416196213,0.038704872131347656,0.01,0.0001,1.5052268505096436
616759.2951296489,0.04353189468383789,0.01,0.0001,1.5052268505096436
461780.35937504173,0.058013916015625,0.01,0.0001,1.5052268505096436
335872.2064961134,0.04165291786193848,0.01,0.0001,1.5052268505096436
247448.157209727,0.05062413215637207,0.01,0.0001,1.5052268505096436
179924.76805607288,0.048707008361816406,0.01,0.0001,1.5052268505096436
178697.46159460722,0.0389101505279541,0.01,0.0001,1.5052268505096436
177909.21295547223,0.036313772201538086,0.01,0.0001,1.5052268505096436
176651.52378652268,0.04316997528076172,0.01,0.0001,1.5052268505096436
176098.1782281972,0.030714988708496094,0.01,0.0001,1.5052268505096436
175782.92829178463,0.03263521194458008,0.01,0.0001,1.5052268505096436
131464.8224012385,0.04374194145202637,0.01,0.0001,1.5052268505096436
100026.13977669527,0.04768800735473633,0.01,0.0001,1.5052268505096436
76444.38619456605,0.04047894477844238,0.01,0.0001,1.5052268505096436
59236.4702746088,0.04758000373840332,0.01,0.0001,1.5052268505096436
47679.73737376,0.04931306838989258,0.01,0.0001,1.5052268505096436
37441.81812814897,0.05209827423095703,0.01,0.0001,1.5052268505096436
30174.653174944968,0.04676675796508789,0.01,0.0001,1.5052268505096436
24198.6855512448,0.0374140739440918,0.01,0.0001,1.5052268505096436
19289.873165582037,0.03995704650878906,0.01,0.0001,1.5052268505096436
15433.024188031526,0.041983842849731445,0.01,0.0001,1.5052268505096436
15403.563407427955,0.030500173568725586,0.01,0.0001,1.5052268505096436
15353.593302900388,0.03525090217590332,0.01,0.0001,1.5052268505096436
15268.942599463398,0.037583112716674805,0.01,0.0001,1.5052268505096436
15252.64734090786,0.03381991386413574,0.01,0.0001,1.5052268505096436
15206.16509452766,0.03467988967895508,0.01,0.0001,1.5052268505096436
12566.24891994244,0.0436859130859375,0.01,0.0001,1.5052268505096436
10202.576801939511,0.04313015937805176,0.01,0.0001,1.5052268505096436
8571.374864847,0.0423130989074707,0.01,0.0001,1.5052268505096436
7177.32878068291,0.04508709907531738,0.01,0.0001,1.5052268505096436
6138.22575669022,0.04315495491027832,0.01,0.0001,1.5052268505096436
5270.975894191826,0.045352935791015625,0.01,0.0001,1.5052268505096436
4494.523710039443,0.05102419853210449,0.01,0.0001,1.5052268505096436
3843.661703158972,0.040782928466796875,0.01,0.0001,1.5052268505096436
3285.590297263412,0.04267096519470215,0.01,0.0001,1.5052268505096436
2820.9594526096175,0.05210685729980469,0.01,0.0001,1.5052268505096436
2819.848936963263,0.036665916442871094,0.01,0.0001,1.5052268505096436
